,cluster,NPP,Light,SO2,NO2,LSTV,X,Y,code,yTest,yPred
0,4,795.599975586,0.0,21.0198383331,257.659179688,-7947.3125,-441314.340548,2572055.49709,0,101.751389729,8962.85028668
1,4,533.5,0.0,6.69804906845,796.361816406,1986.1875,1068685.65945,2752055.49709,0,5247.10757829,13674.1454747
2,4,64.3000030518,0.0,0.0,136.150726318,-4019.875,-551314.340548,4082055.49709,0,0.0,1579.40808865
3,4,507.299957275,10.0,0.0,4149.23193359,3244.25,1588685.65945,3282055.49709,0,133288.811696,61548.0466983
4,4,99.9999923706,0.0,0.0,141.164825439,-4676.875,-1581314.34055,3152055.49709,0,0.0,2719.99066464
5,4,0.0,0.0,0.0,374.873748779,-498.6875,-2261314.34055,4462055.49709,0,0.0,-439.664383695
6,4,470.5,0.0,71.5971221924,1015.48199463,2787.0,168685.659452,3262055.49709,0,27192.3485467,11687.4299407
7,4,0.0,0.0,0.0,545.198303223,-2628.625,-1771314.34055,4982055.49709,0,0.0,95.8034400202
8,4,678.699951172,0.0,0.0,1041.30969238,-3732.125,1498685.65945,3122055.49709,0,1124.09578021,15633.0107258
9,4,632.399963379,0.0,37.3732872009,586.029602051,2165.875,318685.659452,2712055.49709,0,9568.35797745,11248.2003184
10,4,0.0,0.0,0.190359979868,220.61730957,1933.875,-521314.340548,4602055.49709,0,0.0,603.178056453
11,4,0.0,0.0,0.0,0.0,0.0,1048685.65945,5132055.49709,0,0.0,-89.5709348108
12,4,0.0,0.0,4.98307418823,267.134368896,2545.25,-1001314.34055,4842055.49709,0,0.0,-446.220984142
13,4,0.0,0.0,6.24678850174,596.624267578,180.0625,-1431314.34055,4682055.49709,0,11771.1236967,1675.46339629
14,4,0.0,0.0,0.0,112.460083008,-1539.6875,-1411314.34055,4202055.49709,0,0.0,-376.495533653
15,4,354.299987793,0.0,0.0,446.114746094,-5829.5625,1018685.65945,4742055.49709,0,127.958433135,5307.80760417
16,4,1556.19995117,11.0,3.65829324722,299.702148438,-1263.5625,-331314.340548,2642055.49709,0,45342.8850033,39441.027993
17,4,741.799987793,11.0,63.0613098145,4311.14404297,83.3125,1458685.65945,3542055.49709,0,147015.152146,64490.4647756
18,4,520.0,0.0,0.0,1053.19116211,836.625,928685.659452,2992055.49709,0,7816.26100439,14672.8972652
19,4,212.299987793,0.0,18.2622737885,176.565002441,-1266.5625,-481314.340548,3632055.49709,0,0.0,3487.84191482
20,4,739.099975586,7.0,0.0,1064.40783691,-343.75,778685.659452,2482055.49709,0,2326.32926019,34074.1421064
21,4,73.5999984741,0.0,0.0,419.166625977,6410.0,-2321314.34055,4672055.49709,0,0.0,-522.390321104
22,4,0.0,0.0,0.0,125.436759949,-4125.1875,-1531314.34055,3812055.49709,0,0.0,579.652631121
23,4,103.900001526,6.0,0.0,469.733947754,-859.625,-2371314.34055,4552055.49709,0,3211.9134539,15125.8230052
24,4,73.2999954224,0.0,7.7258234024,647.11895752,-1540.3125,-1511314.34055,5002055.49709,0,1383.38709321,1314.84564598
25,4,452.600006104,0.0,0.0,1082.58544922,-879.0,1778685.65945,4952055.49709,0,284.863074636,10679.609133
26,4,0.0,9.0,25.5741901398,2488.23999023,1220.3125,548685.659452,4252055.49709,0,40144.0006916,41218.2896435
27,4,434.799987793,14.0,22.2650108337,627.092834473,1505.0625,458685.659452,3312055.49709,0,28185.6311925,44438.2456004
28,4,347.199981689,8.0,61.2052497864,2773.41088867,36.5,548685.659452,4392055.49709,0,49566.1896911,41234.2510359
29,4,588.099975586,0.0,0.0,633.200256348,3719.9375,398685.659452,3462055.49709,0,2410.23649969,9932.51638088
30,4,0.0,0.0,0.0,242.211883545,769.5,-1991314.34055,4182055.49709,0,0.0,-247.550017912
31,4,116.399993896,0.0,32.5181503296,1134.92053223,333.9375,-1251314.34055,4842055.49709,0,1570.57279907,5453.94558919
32,4,609.900024414,0.0,57.5340080261,1047.35168457,2966.875,-61314.3405484,2732055.49709,0,1816.51999345,13618.7279803
33,4,184.699996948,0.0,0.0,249.98109436,1690.5,-591314.340548,3502055.49709,0,0.331420008093,4276.1542675
34,4,0.0,0.0,0.0,389.403442383,1343.75,-1571314.34055,5122055.49709,0,0.0,-1093.6103187
35,4,238.399993896,0.0,6.31864452362,201.296051025,1600.5,-441314.340548,4072055.49709,0,0.0,2763.40190976
36,4,746.199951172,0.0,0.0,1270.25146484,-511.625,1268685.65945,3192055.49709,0,47979.1161773,16964.7601181
37,4,0.0,0.0,0.0,241.565124512,-313.25,-1141314.34055,4362055.49709,0,0.0,498.606461644
38,4,0.0,0.0,15.1910743713,464.802978516,-1622.4375,-1131314.34055,4652055.49709,0,0.0,1168.48351982
39,4,0.0,0.0,0.0,362.205993652,-1456.9375,-2361314.34055,4352055.49709,0,2173.67632346,-380.289069377
40,4,98.6999969482,0.0,7.10826873779,194.753479004,-22067.875,-771314.340548,3242055.49709,0,0.0,3980.56715908
41,4,14.1999998093,0.0,0.0,147.784179688,-2115.75,-1721314.34055,3522055.49709,0,0.0,1278.28344753
42,4,390.899993896,30.0,35.9676017761,1983.40002441,5916.0625,1128685.65945,4492055.49709,0,226713.952775,91357.8823181
43,4,466.0,0.0,12.1778583527,216.212753296,6115.5625,-511314.340548,3282055.49709,0,1.17813002877,5594.33427747
44,4,0.0,0.0,0.0,158.581619263,1151.5625,-2281314.34055,4202055.49709,0,0.0,-1309.94092582
45,4,652.5,0.0,47.9885978699,1481.80334473,2622.5,818685.659452,2952055.49709,0,29837.7856982,17620.801734
46,4,218.599990845,0.0,4.39926481247,325.546203613,1863.375,908685.659452,4942055.49709,0,2153.85773181,3232.26210601
47,4,739.899963379,0.0,0.0,805.208374023,-3759.4375,628685.659452,2602055.49709,0,831.265978704,14304.1940288
48,4,406.099975586,0.0,5.52505922318,1003.37432861,-1722.75,338685.659452,3802055.49709,0,18.7753604558,10871.5793673
49,4,867.5,0.0,14.9597625732,369.039428711,5372.75,-261314.340548,3022055.49709,0,9864.99404018,9109.09357436
50,4,0.0,0.0,0.0,273.995117188,-262.75,-2021314.34055,4412055.49709,0,0.0,-673.901460851
51,4,296.099975586,7.0,0.0,1050.84289551,136.1875,1568685.65945,5102055.49709,0,5801.60283559,26616.6101781
52,4,396.599975586,0.0,7.17951154709,315.521514893,-1978.875,-151314.340548,3732055.49709,0,0.0,5443.12889208
53,4,13.3000001907,0.0,0.0,108.3670578,-2735.6875,-2031314.34055,3522055.49709,0,0.0,550.79285377
54,4,792.799987793,0.0,10.7571115494,309.011627197,-4474.875,-371314.340548,2672055.49709,0,2460.2317737,9250.44251353
55,4,513.299987793,0.0,48.0136222839,740.239257813,1469.0625,498685.659452,2852055.49709,0,1667.92757537,11699.247611
56,4,143.799987793,6.0,17.775177002,1055.95092773,-307.25,-101314.340548,3882055.49709,0,30323.7258282,24271.978619
57,4,0.0,0.0,0.0,343.265777588,-431.9375,-221314.340548,4222055.49709,0,0.0,2914.52129269
58,4,0.0,0.0,0.0,914.185791016,0.0,1998685.65945,4882055.49709,0,21.6103416337,8398.33306637
59,4,0.0,0.0,0.0,172.270584106,6175.25,-2391314.34055,3662055.49709,0,0.0,50.0607713901
60,4,0.0,0.0,0.835888743401,226.459777832,-467.8125,-451314.340548,4542055.49709,0,0.0,901.828881068
61,4,521.099975586,0.0,6.90017652512,737.990234375,-272.5,1808685.65945,4822055.49709,0,0.0,8803.53496166
62,4,477.5,0.0,109.190391541,1493.70825195,-523.6875,108685.659452,2822055.49709,0,2853.38296245,15790.3731792
63,4,0.0,0.0,0.0,134.906845093,1126.625,-541314.340548,4112055.49709,0,0.0,1270.4517269
64,4,289.700012207,8.0,25.640422821,352.054504395,-16002.1875,-201314.340548,2752055.49709,0,29521.6542277,27586.08225
65,4,0.0,0.0,13.9078350067,292.104278564,225.0625,-341314.340548,4312055.49709,0,0.0,1998.77052723
66,4,567.900024414,0.0,0.0,636.349853516,-565.75,538685.659452,2282055.49709,0,5723.1117125,13218.7698054
67,4,699.799926758,0.0,0.0,0.0,0.0,368685.659452,2242055.49709,0,195.393249521,9049.23469453
68,4,574.599975586,0.0,0.0,864.396789551,-4229.75,238685.659452,3522055.49709,0,654.27169461,11141.5067366
69,4,21.1000003815,0.0,0.0,102.734291077,182.4375,-1761314.34055,3402055.49709,0,0.0,1240.74068599
70,4,193.199996948,0.0,0.0,300.348510742,-1618.1875,738685.659452,4842055.49709,0,7.40748511709,3035.48558627
71,4,198.100006104,0.0,2.30548238754,206.689117432,-2860.375,-621314.340548,3172055.49709,0,0.0,4832.78539232
72,4,0.0,0.0,0.0,203.301818848,77151.25,-2411314.34055,3702055.49709,0,0.0,13.4879902402
