,cluster,NPP,Light,SO2,NO2,LSTV,X,Y,code,yTest,yPred
0,0,181.599990845,0.0,0.0,434.262695313,-1467.3125,1208685.65945,5402055.49709,0,0.0,2175.96510433
1,0,292.5,5.0,60.6140937805,2660.29638672,801.75,488685.659452,4362055.49709,0,16601.0329519,37375.0316968
2,0,370.700012207,6.0,304.342590332,5744.95117188,-697.1875,1008685.65945,4022055.49709,0,29081.3309356,31828.408818
3,0,0.0,0.0,0.0,301.978027344,739.6875,-11314.3405484,4352055.49709,0,0.0,367.983290238
4,0,799.200012207,0.0,16.4428043365,690.765686035,752.5625,138685.659452,2492055.49709,0,34892.9069394,13427.3236463
5,0,711.699951172,6.0,0.0,681.18371582,830.375,1308685.65945,2922055.49709,0,56827.5246542,26231.2643418
6,0,632.299987793,0.0,1.24351990223,174.405944824,-2109.6875,-291314.340548,3212055.49709,0,0.456270011142,836.810877432
7,0,0.0,0.0,0.0,312.635681152,-215.375,-2261314.34055,4362055.49709,0,0.0,92.7525020326
8,0,252.099990845,0.0,0.0,301.694244385,-2544.0625,-1331314.34055,5262055.49709,0,1219.95532321,3688.88793964
9,0,0.0,0.0,0.0,461.291870117,1919.9375,-1201314.34055,4942055.49709,0,0.0,209.918615998
10,0,0.0,0.0,0.0,263.265960693,650.25,28685.6594516,4482055.49709,0,230.423749729,138.210961958
11,0,0.0,0.0,57.1436195374,1152.34814453,-4555.8125,148685.659452,4312055.49709,0,6205.55435225,7873.44969661
12,0,0.0,0.0,0.0,261.071380615,-960.0,178685.659452,4502055.49709,0,246.042873565,61.3886619048
13,0,513.299987793,0.0,18.3480834961,3767.95947266,-426.4375,1478685.65945,3242055.49709,0,5006.96142939,43029.9168525
14,0,655.600036621,0.0,7.69994783401,564.088500977,6196.8125,328685.659452,2612055.49709,0,2098.9837809,21285.1417399
15,0,115.499992371,0.0,1.96156466007,660.295715332,-3055.5,-2021314.34055,4642055.49709,0,3743.05284009,6398.95538832
16,0,0.0,0.0,0.0,222.731399536,177.6875,-151314.340548,4492055.49709,0,2409.26068204,331.421070525
17,0,0.0,0.0,2.27518343925,399.826721191,3921.3125,-351314.340548,4172055.49709,0,48136.4544154,8979.70960076
18,0,0.0,0.0,0.0,225.014602661,3406.625,-1281314.34055,4352055.49709,0,732.701513147,105.373253469
19,0,1137.0,0.0,3.58372926712,771.315612793,3119.375,208685.659452,3352055.49709,0,7407.52978567,24362.2235705
20,0,620.799987793,0.0,0.0,745.333618164,-1298.1875,708685.659452,2582055.49709,0,340.189117813,5719.38617167
21,0,34.0999984741,0.0,0.0,531.151123047,1438.6875,-1691314.34055,4952055.49709,0,0.0,409.634603733
22,0,497.799987793,0.0,4.10756111145,1080.86230469,3344.5625,598685.659452,3592055.49709,0,1271.91820772,28159.8792565
23,0,816.099975586,5.0,0.0,206.848129272,-7825.625,-1241314.34055,2942055.49709,0,0.0,12887.8892691
24,0,45.5999984741,0.0,3.94006681442,241.956466675,-1405.875,-2571314.34055,4682055.49709,0,370.367924928,123.875234687
25,0,432.600006104,0.0,0.0,1301.55078125,-1957.0625,2048685.65945,5202055.49709,0,3558.04453359,12277.0042764
26,0,338.599975586,0.0,3.90451836586,1919.25488281,-6968.5,578685.659452,4252055.49709,0,2253.60109453,10892.4405229
27,0,527.799987793,0.0,32.0098838806,577.228393555,68.125,1858685.65945,4812055.49709,0,858.92100215,1762.39178695
28,0,0.0,0.0,12.062587738,217.62008667,-17209.75,-2331314.34055,3882055.49709,0,0.0,5.72916671142e-09
29,0,198.0,0.0,0.0,298.492462158,498.25,838685.659452,4882055.49709,0,63.9792165674,260.764270383
30,0,0.0,0.0,9.27323436737,467.439208984,-3278.875,-121314.340548,4182055.49709,0,13695.9056172,599.850854761
31,0,271.200012207,0.0,0.857672572136,370.176635742,-5639.1875,-1631314.34055,5162055.49709,0,5138.46707445,5182.4864736
32,0,548.5,0.0,9.82973957062,663.981384277,-3951.75,1918685.65945,4912055.49709,0,21.6103416337,1224.36508562
33,0,0.0,0.0,0.0,250.214782715,-6509.1875,-1231314.34055,4422055.49709,0,0.0,126.133226557
34,0,0.0,0.0,0.0,225.310180664,296.8125,-1001314.34055,4362055.49709,0,0.0,156.815380528
35,0,297.899993896,0.0,9.3766450882,233.252258301,-3451.0625,-381314.340548,4072055.49709,0,0.0,1325.4465684
36,0,9.80000019073,0.0,3.74593710899,166.551239014,-4118.4375,-1341314.34055,3722055.49709,0,0.0,0.0
37,0,511.399993896,0.0,37.6316299438,1691.4432373,1458.1875,1008685.65945,3402055.49709,0,23950.6301293,25522.0494299
38,0,570.799987793,12.0,0.0,0.0,110335.6875,988685.659452,2432055.49709,0,9395.689969,81160.4703601
39,0,219.100006104,0.0,4.11585044861,1903.27319336,-210.5,468685.659452,4102055.49709,0,5429.10636261,11530.4649456
40,0,263.299987793,0.0,0.0,1163.19921875,498.75,1588685.65945,5192055.49709,0,8236.32980888,8731.30779078
41,0,344.699981689,0.0,0.0,393.165740967,-1406.4375,1158685.65945,5492055.49709,0,0.0,761.629947143
42,0,0.0,0.0,0.0,0.0,0.0,-2261314.34055,3472055.49709,0,0.0,37.9566502816
43,0,0.0,0.0,5.12113428116,290.341552734,1711.875,-1691314.34055,4552055.49709,0,0.0,12.1882529343
44,0,0.0,0.0,0.0,118.568771362,-24904.5625,-1541314.34055,4152055.49709,0,0.0,116.609763115
45,0,225.0,29.0,0.0,426.335845947,-747.0625,1048685.65945,4902055.49709,0,4108.0864251,48161.6524735
46,0,547.700012207,0.0,0.0,687.583679199,1981.9375,258685.659452,3532055.49709,0,1399.75988072,9469.44841575
47,0,0.0,0.0,0.0,142.34854126,1651.0625,-1691314.34055,3922055.49709,0,0.0,0.0
48,0,0.0,0.0,0.0,0.0,96628.8125,-2261314.34055,3492055.49709,0,0.0,37.9566501924
49,0,0.0,0.0,0.0,217.277954102,1161.875,-2231314.34055,4202055.49709,0,0.0,50.4144857837
50,0,0.0,0.0,0.0,332.045684814,-4227.0,-2251314.34055,4422055.49709,0,0.0,340.843867655
51,0,399.399993896,0.0,0.0,287.381530762,2301.375,-221314.340548,3382055.49709,0,17348.0297052,8637.5878409
52,0,340.399993896,0.0,0.148584350944,699.594482422,0.0,2158685.65945,5222055.49709,0,1859.42679302,3839.1956944
53,0,143.600006104,0.0,0.0,586.709106445,3137.6875,308685.659452,4472055.49709,0,1628.35234234,3059.58682908
54,0,0.0,0.0,0.0,0.0,0.0,1308685.65945,2582055.49709,0,0.0,2764.28805812
55,0,472.299987793,5.0,9.44756412506,833.428405762,-3140.1875,1198685.65945,2712055.49709,0,2493.79785196,11486.4412792
56,0,253.600006104,0.0,47.3719787598,1287.54321289,-2040.9375,738685.659452,3062055.49709,0,14990.0663717,22106.6237075
57,0,472.099975586,0.0,58.4085502625,1940.97302246,1997.125,708685.659452,3352055.49709,0,8806.64141183,51724.4626124
58,0,0.0,0.0,0.0,242.48500061,-1104.0625,-1781314.34055,4482055.49709,0,0.0,38.345037687
59,0,315.099975586,0.0,24.4721870422,832.368408203,-439.75,2108685.65945,5242055.49709,0,9074.43917288,6382.80746629
60,0,383.299987793,12.0,1.96402907372,742.886230469,2576.25,78685.6594516,3682055.49709,0,319440.571855,40358.829252
61,0,292.5,12.0,21.1984996796,1601.26367188,-3641.4375,538685.659452,4092055.49709,0,25556.3055343,36663.3715503
62,0,10.9000005722,0.0,0.0,187.139205933,13701.5,-1711314.34055,3482055.49709,0,0.0,0.0
63,0,0.0,0.0,0.0,219.457275391,591.3125,-1861314.34055,4182055.49709,0,0.0,228.927814125
64,0,214.5,0.0,0.0,425.85067749,2196.0625,1028685.65945,4802055.49709,0,6914.54060978,6394.14063397
65,0,341.600006104,0.0,0.0,461.728729248,3786.9375,-201314.340548,3802055.49709,0,1498.64064082,10285.3379074
66,0,567.900024414,0.0,0.0,636.349853516,-565.75,538685.659452,2282055.49709,0,5723.1117125,15876.5915001
67,0,699.799926758,0.0,0.0,0.0,0.0,368685.659452,2242055.49709,0,195.393249521,14148.7201853
68,0,630.899963379,0.0,59.6344871521,1536.44360352,2571.4375,1038685.65945,2972055.49709,0,7716.01592863,20689.5650409
69,0,0.0,0.0,0.0,219.602294922,1058.5625,-1011314.34055,4452055.49709,0,0.0,51.7454980022
70,0,167.799987793,0.0,0.0,301.70098877,-916.125,698685.659452,4832055.49709,0,0.0,488.519548811
71,0,0.0,0.0,0.0,125.359054565,3373.6875,-551314.340548,4152055.49709,0,0.0,823.05710154
72,0,0.0,0.0,0.0,326.486083984,761.0,-1881314.34055,4582055.49709,0,0.0,101.995675017
73,0,774.0,0.0,13.0064249039,488.134002686,3648.1875,-201314.340548,3142055.49709,0,14165.355199,16789.1304858
74,0,0.0,0.0,0.0,149.880569458,-1295.0625,-1361314.34055,3352055.49709,0,0.0,1.02201221331e-07
75,0,109.199996948,0.0,136.764190674,3374.48754883,-2041.0,588685.659452,3772055.49709,0,1571.12086419,5406.32165281
76,0,404.300018311,0.0,6.78418064117,943.006591797,-500.0625,2108685.65945,5312055.49709,0,39019.4139229,6425.02023436
77,0,0.0,0.0,0.0,469.584411621,4574.6875,-2181314.34055,4582055.49709,0,805.209236072,3397.83806653
78,0,0.0,0.0,0.0,0.0,0.0,938685.659452,2312055.49709,0,21.6797603816,1278.26867224
79,0,0.0,0.0,0.0,288.670501709,-3707.75,-2551314.34055,4662055.49709,0,0.0,89.0020670231
80,0,549.5,14.0,86.3202972412,3408.49169922,660.625,1138685.65945,3582055.49709,0,123121.048769,54598.9380737
81,0,0.0,0.0,4.18641328812,214.310333252,240.875,-591314.340548,4612055.49709,0,0.0,57.0782620667
82,0,485.100006104,0.0,19.5484771729,776.512817383,765.375,1778685.65945,4762055.49709,0,2795.56465834,13209.8244503
83,0,516.200012207,0.0,65.3581390381,1897.38867188,4876.375,348685.659452,3752055.49709,0,2533.5403886,14767.0712617
84,0,394.899993896,0.0,48.4216194153,2569.1472168,-2715.5625,748685.659452,4192055.49709,0,1415.39964939,5877.08293808
85,0,0.0,0.0,0.0,0.0,0.0,268685.659452,4582055.49709,0,0.0,142.876680493
86,0,0.0,0.0,4.39750576019,100.887313843,-17939.1875,-2331314.34055,4132055.49709,0,0.0,18.4763369083
87,0,252.099990845,11.0,0.0,1853.28234863,4628.8125,618685.659452,4382055.49709,0,89419.7121071,58653.2711846
88,0,0.0,0.0,10.8500328064,136.354049683,-3921.875,-1751314.34055,3292055.49709,0,0.0,6.44783123441e-08
89,0,945.499938965,0.0,38.5034637451,1061.82189941,-2204.625,738685.659452,2342055.49709,0,100.307098398,10309.5479405
90,0,0.0,0.0,0.0,335.922119141,4040.6875,-2291314.34055,4392055.49709,0,0.0,74.946920055
91,0,0.0,0.0,0.0,152.131530762,3376.8125,-2241314.34055,4182055.49709,0,0.0,186.09793209
